epoch,train_loss,val_loss
1,0.27296109504540017,0.8696797875797048
2,0.16865434502044838,0.15849253329474602
3,0.15811410629263611,0.15859021663741993
4,0.1564624648884498,0.1542196313629065
5,0.15429550310463325,0.15175790547409937
6,0.15366511432447633,0.15273898405492153
7,0.15248673531598708,0.1522365763516682
8,0.1515890310642408,0.1499942834000758
9,0.15116312218124345,0.14938375292836553
10,0.150649168763831,0.1490601765568299
11,0.15032788667408273,0.14854879557247966
12,0.1503599507880394,0.1490382078434805
13,0.1521179019107957,0.14899127669346607
14,0.15046374578308633,0.14825874372668887
15,0.14984106637995195,0.1478699088630164
16,0.14970996295047906,0.14851832441280566
17,0.15369761738697316,0.1518755606792467
18,0.15300740691302375,0.15053493405699425
19,0.15035023005622036,0.14707181888544346
20,0.14964917794492974,0.1617101303223149
21,0.1488568890909744,0.1482274824624781
22,0.15165971232889658,0.1499080887574064
23,0.15132312919728383,0.14976539257008706
24,0.15041892836029314,0.14677573675694672
25,0.14987919274908285,0.14973754603463366
26,0.15152672841928824,0.14888437016083456
27,0.15029117205011763,0.14825264936136773
28,0.15013809428063982,0.14869068244762737
29,0.1489039400541589,0.14863863581662898
30,0.15001983990187123,0.1474107744939187
31,0.1493846135207614,0.14747009197693042
32,0.1491129550091134,0.14668844297261494
33,0.14850559782351244,0.14841191241960697
34,0.1496211947339234,0.15109215272814416
35,0.15011037876607006,0.146067381953187
36,0.14896843594788184,0.1457315529589458
37,0.14786065867609335,0.14783233596617
38,0.14797719025431336,0.14694924978420254
39,0.15004131669629964,0.14831180836233643
40,0.1505795025835672,0.14804730400481186
41,0.14959865234436232,0.14791113006718018
42,0.14936449074857064,0.14668333480882523
43,0.1488422423238793,0.14627512405290627
44,0.14921419501444483,0.1478684396885545
45,0.149000524174511,0.1467197545806465
46,0.14912595700014877,0.14713491341265875
47,0.1490117905458035,0.1475078061299251
48,0.14895753889525812,0.14703565353856368
49,0.14886399398243164,0.14784686337880162
50,0.1490758228411345,0.14767086702158383
51,0.14908091952458483,0.1474205440915454
52,0.14890901858794403,0.1467758968777364
53,0.14875418536441318,0.14672050737511472
54,0.14868893289347354,0.14635108184555304
55,0.1484243273003974,0.1467603052135014
56,0.14829271739672983,0.14669449806518262
57,0.14885299019642656,0.14870143523606497
