epoch,train_loss,val_loss
1,0.4491801268386149,0.31585749320666806
2,0.30383012321723607,0.2854116478996813
3,0.28200668191263906,0.27737708100120123
4,0.2686515378069654,0.2645950820058813
5,0.2630614323649594,0.2626532798685381
6,0.2610341351250435,0.260289285532044
7,0.2599181478251878,0.2596928111808684
8,0.25905423587881055,0.25913452770551454
9,0.25840596622650736,0.25830194841870263
10,0.2579237247082967,0.25747387865772636
11,0.2574237346674598,0.2579628957049621
12,0.2571341646040564,0.257153672749734
13,0.2568659559082965,0.2567718827053714
14,0.25664112746791834,0.25716221347794205
15,0.2563837645225761,0.2565807194813438
16,0.2562245439305749,0.25680427664838484
17,0.25605859744136855,0.2567717771014899
18,0.25591161757478736,0.2559515431790096
19,0.25581237694738057,0.256287666880871
20,0.2556711710137617,0.25657399680913257
21,0.2556233463916966,0.25572172519953357
22,0.2554309831251972,0.25614242831154554
23,0.25533551999301024,0.2557827970560859
24,0.255210738514674,0.2555996130037186
25,0.2550522446339956,0.2553706123777058
26,0.2549736685923749,0.25640490449145625
27,0.25492315310921276,0.25550514368145055
28,0.2548566205179122,0.25525722723177935
29,0.2547201331920998,0.2554128498906065
30,0.2547571176834684,0.25512077310658476
31,0.254683395923964,0.25496863549017845
32,0.25456667119961346,0.25512108168638575
33,0.2545252404026306,0.2553040407731405
34,0.2544512038751674,0.25512260808359327
35,0.2544708224680949,0.25491081749844124
36,0.2543804305875769,0.25507302338357474
37,0.2544009525888304,0.25520615839897215
38,0.2543135094027267,0.25512453902255544
39,0.25425478500717735,0.25484696472697244
40,0.25422648129406233,0.2548995364428786
41,0.2541844778004462,0.25498770219285777
42,0.25419640410119354,0.2547471080442219
43,0.2541181384283833,0.2547803235328411
44,0.2540662233422132,0.25470600576351976
45,0.25409899604325614,0.2547959275638966
46,0.25400246370825347,0.254576858314102
47,0.25405724316759115,0.254941952807824
48,0.2539733166746007,0.2548035950688145
49,0.2539430050745149,0.2544386692516639
50,0.25395479629852463,0.25465718544352695
51,0.25395889589785514,0.25483674176818577
52,0.2539342573427503,0.2548995068311081
53,0.253903270390762,0.25470578998251037
54,0.25386289189293115,0.25457826169098124
55,0.25384396067963527,0.2548246313162777
56,0.25384346072787717,0.2551326652621979
57,0.253793259345173,0.25449773596833125
58,0.2538439147492216,0.2550161293400523
59,0.2537138834977109,0.2545014398787028
60,0.25371922053549273,0.25458916960774786
61,0.25365708740396303,0.2543292129436112
62,0.25373891335451154,0.25452811974088857
